Image Index,ROI1 Blue Intensity LOWESS,ROI2 Blue Intensity LOWESS,ROI3 Blue Intensity LOWESS,ROI4 Blue Intensity LOWESS,ROI5 Blue Intensity LOWESS,R1,R2,ROI3 Blue Intensity LOWESS,R4,R5,,,,,
165,63.03137365,41.61670652,33.52718864,37.99260112,44.30642807,42.45668365,34.78926752,33.52718864,33.35358412,32.90973807,,,,,
166,63.34323558,41.69985886,33.53451909,37.99115259,44.30343225,42.76854558,34.87241986,33.53451909,33.35213559,32.90674225,,,,,
167,63.66117692,41.78773661,33.5423023,37.98975787,44.30041188,43.08648692,34.96029761,33.5423023,33.35074087,32.90372188,,,,,
168,63.98512989,41.88050103,33.5505602,37.98841827,44.29736494,43.41043989,35.05306203,33.5505602,33.34940127,32.90067494,,,,,
169,64.31501856,41.97830941,33.5593165,37.98713591,44.29429009,43.74032856,35.15087041,33.5593165,33.34811891,32.89760009,,,,,
170,64.65076172,42.08130488,33.56859959,37.98591384,44.29118612,44.07607172,35.25386588,33.56859959,33.34689684,32.89449612,,,,,
171,64.99227188,42.1896238,33.57844123,37.98475655,44.28805268,44.41758188,35.3621848,33.57844123,33.34573955,32.89136268,,,,,
172,65.33945978,42.30338493,33.58888066,37.98367135,44.28489187,44.76476978,35.47594593,33.58888066,33.34465435,32.88820187,,,,,
173,65.69223302,42.42269003,33.59996341,37.98266685,44.28170696,45.11754302,35.59525103,33.59996341,33.34364985,32.88501696,,,,,
174,66.05049266,42.54763628,33.6117387,37.98175225,44.27850185,45.47580266,35.72019728,33.6117387,33.34273525,32.88181185,,,,,
175,66.41413703,42.67830305,33.62426267,37.9809374,44.27528026,45.83944703,35.85086405,33.62426267,33.3419204,32.87859026,,,,,
176,66.78306215,42.81475407,33.63759822,37.98023241,44.27204564,46.20837215,35.98731507,33.63759822,33.34121541,32.87535564,,,,,
177,67.15715804,42.95705231,33.6518117,37.97964731,44.26880168,46.58246804,36.12961331,33.6518117,33.34063031,32.87211168,,,,,
178,67.5363104,43.10525144,33.66697543,37.97919186,44.26555123,46.9616204,36.27781244,33.66697543,33.34017486,32.86886123,,,,,
179,67.92039374,43.25940818,33.68316136,37.97887431,44.26229529,47.34570374,36.43196918,33.68316136,33.33985731,32.86560529,,,,,
180,68.30927587,43.41958261,33.70044388,37.97870272,44.25903497,47.73458587,36.59214361,33.70044388,33.33968572,32.86234497,,,,,
181,68.70282647,43.58582152,33.71890736,37.97868614,44.255772,48.12813647,36.75838252,33.71890736,33.33966914,32.859082,,,,,
182,69.10091777,43.75816106,33.73864683,37.97883547,44.25250986,48.52622777,36.93072206,33.73864683,33.33981847,32.85581986,,,,,
183,69.50341755,43.93663998,33.75976084,37.97916115,44.24925129,48.92872755,37.10920098,33.75976084,33.34014415,32.85256129,,,,,
184,69.91019782,44.12129051,33.78235947,37.97967559,44.24600078,49.33550782,37.29385151,33.78235947,33.34065859,32.84931078,,,,,
185,70.32113525,44.31214,33.8065643,37.98039364,44.24276539,49.74644525,37.484701,33.8065643,33.34137664,32.84607539,,,,,
186,70.73610361,44.50922187,33.83250068,37.98132974,44.23955237,50.16141361,37.68178287,33.83250068,33.34231274,32.84286237,,,,,
187,71.1549831,44.7125665,33.86030548,37.98250077,44.23637088,50.5802931,37.8851275,33.86030548,33.34348377,32.83968088,,,,,
188,71.57766096,44.92220293,33.89012702,37.98392649,44.2332322,51.00297096,38.09476393,33.89012702,33.34490949,32.8365422,,,,,
189,72.00402322,45.13816815,33.92211729,37.9856267,44.23014677,51.42933322,38.31072915,33.92211729,33.3466097,32.83345677,,,,,
190,72.43396391,45.36049886,33.95643857,37.98762339,44.22712598,51.85927391,38.53305986,33.95643857,33.34860639,32.83043598,,,,,
191,72.86738359,45.58923216,33.99326133,37.98993923,44.22418168,52.29269359,38.76179316,33.99326133,33.35092223,32.82749168,,,,,
192,73.30418202,45.82441432,34.03275739,37.99259559,44.22132455,52.72949202,38.99697532,34.03275739,33.35357859,32.82463455,,,,,
193,73.74426287,46.06609238,34.07510442,37.99561777,44.2185672,53.16957287,39.23865338,34.07510442,33.35660077,32.8218772,,,,,
194,74.18751417,46.314309,34.12048046,37.99904102,44.21592607,53.61282417,39.48687,34.12048046,33.36002402,32.81923607,,,,,
195,74.63381418,46.56911102,34.16906296,38.00290107,44.21341752,54.05912418,39.74167202,34.16906296,33.36388407,32.81672752,,,,,
196,75.08304622,46.83054485,34.22103256,38.00723412,44.21105898,54.50835622,40.00310585,34.22103256,33.36821712,32.81436898,,,,,
197,75.53509819,47.0986559,34.2765713,38.01207658,44.20886801,54.96040819,40.2712169,34.2765713,33.37305958,32.81217801,,,,,
198,75.98985483,47.37349361,34.33586036,38.01746412,44.20686152,55.41516483,40.54605461,34.33586036,33.37844712,32.81017152,,,,,
199,76.44720167,47.65510647,34.39907777,38.02343159,44.20505523,55.87251167,40.82766747,34.39907777,33.38441459,32.80836523,,,,,
200,76.90701495,47.94354394,34.46639666,38.03001045,44.20346211,56.33232495,41.11610494,34.46639666,33.39099345,32.80677211,,,,,
201,77.36916599,48.2388564,34.53798659,38.03723008,44.20209363,56.79447599,41.4114174,34.53798659,33.39821308,32.80540363,,,,,
202,77.83352997,48.54108975,34.61400967,38.04511998,44.20096061,57.25883997,41.71365075,34.61400967,33.40610298,32.80427061,,,,,
203,78.29997627,48.85028554,34.69462385,38.05370728,44.20007169,57.72528627,42.02284654,34.69462385,33.41469028,32.80338169,,,,,
