Image Index,Object Index,Light Intensity
1,1,176.3458208344696
1,2,188.62067630356222
2,1,176.1414649318335
2,2,188.20334096024703
3,1,186.404997017695
3,2,198.73146143067711
4,1,186.77341482047365
4,2,197.73500200825208
5,1,198.5927428893782
5,2,186.3179965537809
6,1,192.93721271199874
6,2,145.22855997250545
