ImageName,AvgValue,MaxValue
Photo_20250608_112822.jpg,0.981265505786692,1
Photo_20250608_113033.jpg,0.993539705874373,1
Photo_20250608_113242.jpg,0.981740649799831,1
Photo_20250608_113440.jpg,0.976338130692861,1
Photo_20250608_113819.jpg,0.986200959835554,1
Photo_20250608_114029.jpg,0.980308537455942,1
Photo_20250608_114240.jpg,0.980205789910097,1
Photo_20250608_114450.jpg,0.986856124785993,1
Photo_20250608_114701.jpg,0.984066370961853,1
Photo_20250608_120427.jpg,0.984909235681278,1
Photo_20250608_120642.jpg,0.982042655564694,1
Photo_20250608_120850.jpg,0.963214161799662,1
Photo_20250608_121100.jpg,0.987526454170438,1
Photo_20250608_121730.jpg,0.981744556855537,1
Photo_20250608_121940.jpg,0.984288758544985,1
Photo_20250608_122330.jpg,0.966192948624207,1
Photo_20250608_122539.jpg,0.983186361169591,1
Photo_20250608_122749.jpg,0.981198969729944,1
Photo_20250608_123239.jpg,0.981850665399169,1
