ImageName,AvgH,AvgS,AvgV
Photo_20250608_112822.jpg,0.640561744270159,0.679818470468366,0.174494943938173
Photo_20250608_113033.jpg,0.683185409066221,0.75769706168119,0.165642967593673
Photo_20250608_113242.jpg,0.632186095267753,0.690570173438681,0.15473351014489
Photo_20250608_113440.jpg,0.620864940080024,0.702746319286953,0.182405938038208
Photo_20250608_113819.jpg,0.641429078093197,0.704635586063686,0.152118564225483
Photo_20250608_114029.jpg,0.613162642791082,0.669462973993119,0.149281825780519
Photo_20250608_114240.jpg,0.574593441713145,0.64361759168995,0.132330625206253
Photo_20250608_114450.jpg,0.597226914438313,0.672737734831136,0.129068058452495
Photo_20250608_114701.jpg,0.621765689392642,0.673333732257625,0.142624958132209
Photo_20250608_120427.jpg,0.648197573955854,0.689091539730722,0.172301338521265
Photo_20250608_120642.jpg,0.642548178484713,0.69792916132556,0.169827215946683
Photo_20250608_120850.jpg,0.614996127093673,0.730082988315091,0.229706898479443
Photo_20250608_121100.jpg,0.652644069844644,0.731929162395901,0.158719677357475
Photo_20250608_121730.jpg,0.628131522724061,0.67505386048745,0.151638124665535
Photo_20250608_121940.jpg,0.624588551136907,0.685497371241347,0.146339677633943
Photo_20250608_122330.jpg,0.657675094959381,0.798566087500314,0.323024503803949
Photo_20250608_122539.jpg,0.620191463030899,0.67441993286686,0.141680628962036
Photo_20250608_122749.jpg,0.633398383643053,0.692005353413717,0.147917834844198
Photo_20250608_123239.jpg,0.57877596192574,0.649552906718458,0.131977228243066
