ImageName,AvgH,AvgS,AvgV,AvgR,AvgG,AvgB
Photo_20250608_112822.jpg,0.640561744270159,0.679818470468366,0.174494943938173,17.3691911740235,55.5632901796775,195.347044880542
Photo_20250608_113033.jpg,0.683185409066221,0.75769706168119,0.165642967593673,13.6074772753605,57.524783813105,211.519196132335
Photo_20250608_113242.jpg,0.632186095267753,0.690570173438681,0.15473351014489,14.6543850684453,52.3263789903988,192.886924131996
Photo_20250608_113440.jpg,0.620864940080024,0.702746319286953,0.182405938038208,14.6090055210791,52.4118058970353,190.764442258974
Photo_20250608_113819.jpg,0.641429078093197,0.704635586063686,0.152118564225483,14.3124377053417,57.4291963527631,204.306554320942
Photo_20250608_114029.jpg,0.613162642791082,0.669462973993119,0.149281825780519,14.3807037281614,56.9620050382762,200.176629083409
Photo_20250608_114240.jpg,0.574593441713145,0.64361759168995,0.132330625206253,17.0510466932824,54.027595903489,188.981162992536
Photo_20250608_114450.jpg,0.597226914438313,0.672737734831136,0.129068058452495,15.4689276131675,56.7411307617591,201.684135868363
Photo_20250608_114701.jpg,0.621765689392642,0.673333732257625,0.142624958132209,15.3186871240651,53.7072141762828,193.343248832102
Photo_20250608_120427.jpg,0.648197573955854,0.689091539730722,0.172301338521265,17.0147585863614,60.1226182180189,207.878113489298
Photo_20250608_120642.jpg,0.642548178484713,0.69792916132556,0.169827215946683,15.2387399746729,53.7606022231603,193.726983959477
Photo_20250608_120850.jpg,0.614996127093673,0.730082988315091,0.229706898479443,14.3245259406372,51.6918709361482,185.071722393014
Photo_20250608_121100.jpg,0.652644069844644,0.731929162395901,0.158719677357475,13.9256771469416,56.5870421388471,205.257571454268
Photo_20250608_121730.jpg,0.628131522724061,0.67505386048745,0.151638124665535,15.281964843858,53.1105440765635,192.237411141537
Photo_20250608_121940.jpg,0.624588551136907,0.685497371241347,0.146339677633943,13.9980584934704,58.9902924673519,206.716058394161
Photo_20250608_122330.jpg,0.657675094959381,0.798566087500314,0.323024503803949,16.8335962476085,50.9222440288835,190.148567549219
Photo_20250608_122539.jpg,0.620191463030899,0.67441993286686,0.141680628962036,15.0818354234575,56.3899019427618,201.198665668309
Photo_20250608_122749.jpg,0.633398383643053,0.692005353413717,0.147917834844198,14.6097665476517,52.9807378925204,191.926866245537
Photo_20250608_123239.jpg,0.57877596192574,0.649552906718458,0.131977228243066,15.4929091734136,58.4523894819804,200.880050631702
